"algorithm","numCities","processingTime","bestDistanceFound","tspInstance"
blind,58,8,128566,brazil58

greedy,58,45,31585,brazil58

genetic,58,6110,47355,brazil58

blind,101,23,3618,eil101

greedy,101,189,839,eil101

genetic,101,17431,1777,eil101

blind,262,186,26722,gil262

greedy,262,2085,2996,gil262

genetic,262,113194,18259,gil262

blind,58,7,120861,brazil58

greedy,58,49,31585,brazil58

genetic,58,6526,40965,brazil58

blind,101,29,3377,eil101

greedy,101,201,839,eil101

genetic,101,18274,1830,eil101

blind,262,203,27319,gil262

greedy,262,2177,2996,gil262

genetic,262,117292,18240,gil262

blind,58,8,123831,brazil58

greedy,58,50,31585,brazil58

genetic,58,6810,46281,brazil58

blind,101,29,3501,eil101

greedy,101,209,839,eil101

genetic,101,19163,1706,eil101

blind,262,201,26888,gil262

greedy,262,2268,2996,gil262

genetic,262,119459,18066,gil262

blind,58,9,131712,brazil58

greedy,58,53,31585,brazil58

genetic,58,6917,55036,brazil58

blind,101,26,3381,eil101

greedy,101,207,839,eil101

genetic,101,19450,1745,eil101

blind,262,225,25178,gil262

greedy,262,2301,2996,gil262

genetic,262,120507,17623,gil262

blind,58,10,127448,brazil58

greedy,58,52,31585,brazil58

genetic,58,6820,45930,brazil58

blind,101,24,3276,eil101

greedy,101,209,839,eil101

genetic,101,19397,1692,eil101

blind,262,269,26616,gil262

greedy,262,2316,2996,gil262

genetic,262,121041,17812,gil262

