"algorithm","numCities","processingTime","bestDistanceFound","tspInstance"
blind,58,4,79951,brazil58
greedy,58,54,29139,brazil58
genetic,58,885,91431,brazil58
blind,101,10,2227,eil101
greedy,101,184,774,eil101
genetic,101,2670,2832,eil101
blind,262,67,16614,gil262
greedy,262,2013,2904,gil262
genetic,262,16537,23538,gil262
blind,58,3,85527,brazil58
greedy,58,55,29139,brazil58
genetic,58,886,86935,brazil58
blind,101,9,2144,eil101
greedy,101,187,774,eil101
genetic,101,2533,2748,eil101
blind,262,71,17984,gil262
greedy,262,1994,2904,gil262
genetic,262,17131,23398,gil262
blind,58,4,79007,brazil58
greedy,58,55,29139,brazil58
genetic,58,901,89991,brazil58
blind,101,10,2215,eil101
greedy,101,184,774,eil101
genetic,101,2692,2710,eil101
blind,262,81,18504,gil262
greedy,262,2061,2904,gil262
genetic,262,17021,23101,gil262
blind,58,3,82704,brazil58
greedy,58,55,29139,brazil58
genetic,58,891,91749,brazil58
blind,101,9,2287,eil101
greedy,101,194,774,eil101
genetic,101,2714,2713,eil101
blind,262,67,17403,gil262
greedy,262,2029,2904,gil262
genetic,262,17531,22262,gil262
blind,58,3,80380,brazil58
greedy,58,60,29139,brazil58
genetic,58,912,94311,brazil58
blind,101,10,2309,eil101
greedy,101,191,774,eil101
genetic,101,2789,2647,eil101
blind,262,75,17959,gil262
greedy,262,2129,2904,gil262
genetic,262,18295,23187,gil262
